filepath,label,label_idx
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8805_jpg.rf.4a63d5560f2a5a46b5c19a297aabd6fc.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\321_jpg.rf.a9519a27c97bad272b2c2aed5594ed20.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\1221666_720_jpg.rf.471d0f9f48eabb68d0a31120d0c6d542.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\170_jpg.rf.aa360ff4d7aa0de9b24aeede9871eccb.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\14_jpg.rf.a3b7d46ce0d1d906eae34944eaa45722.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\469_jpg.rf.a25cead4042bc3baaf0d9be2d8afd4f1.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8936_jpg.rf.107bf71b42b9598faa2b5d5c63eb6480.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\Capture9_JPG_jpg.rf.a8e004f7d9d86dc579348feecbe6e21b.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2686028244249168609_jpg.rf.37b8299bd0d2dc78d02cbd5ebf3dc560.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\573_jpg.rf.f6f45160fdd7822ec1cdb80e3f02b06f.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\35-539967--97-5835046_A3_jpg.rf.d6a863f16f36cb7d126353079283f3b9.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\467_jpg.rf.0c9643769b08ccb65e3044798bd2a926.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Mixed Issues\596_jpg.rf.05bb073229b2842ee19cfef9a65bd70d.jpg,Mixed Issues,4
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8291_jpg.rf.52bd658a15e3e00c51c74b5af6550c2b.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2765847404298551466_jpg.rf.84eb609fdc8d8c89d5ce77fbf4d45c14.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\457_jpg.rf.bbe2b67aad291421756bb282d450da2d.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\speed-bump-on-road-yellow-260nw-2145166599_jpeg_jpg.rf.322aff1e62dc10098940a45ab4a8470d.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\262_jpg.rf.40946db66bf36eef01f9f1347fb1071c.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8139_jpg.rf.831e19bc5f04a22fd221cb55ae5d646a.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\280_jpg.rf.9d1cab7d7705eb08834bb17dbb85882b.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\358_jpg.rf.b6678e87f9682431b5c788b60210e10a.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8218_jpg.rf.a079368008e6368378b76d6cf5fbd822.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\133_jpg.rf.77ce606edcb556d6b90f86c4dfcd9698.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\302_jpg.rf.12c17f3ad1b53c8bfae6d2e2427006ef.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\603_jpg.rf.95fd00ff29833781df38a6bdd7c00aa0.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\350_jpg.rf.e4063c0db6ceb02c1261352f56ed62f9.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\311_jpg.rf.9677bbc9f4cc1ac38e9e20c73bc8b34c.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\94_jpg.rf.3bc853219e42d28e970934786feaffe0.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\36-3249295--115-287651_A3_jpg.rf.454c46513fb5875d8c783fb452000baa.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\41-9093411--87-769021_A3_jpg.rf.1ed043449cd42a5cf08b4ea31f936074.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\5ef5e3a95305d80001192b6c_jpg.rf.f5cffe64fac94dd4cbdc20c037218ce4.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\40-7489828--74-1963462_A4_jpg.rf.3a12a2b0b1e16fcf0563fe7c9be2f8d4.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\Speed-Hump-3_jpg.rf.fe68179ff0f83c3aaaae624e2e1de79e.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2755338564159937957_jpg.rf.0c4a6696a7ebcedce1862a9139fda54a.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\193_jpg.rf.fc7b3755be6a908961dc789e0286245a.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_9080_jpg.rf.f286051f21a1dc26dd5756b855132b13.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2690327148402735838_jpg.rf.da509b71623c5a833a12c64b722b7e69.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\37_jpg.rf.4fa7142c40e9af8bf16c2fd392675158.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\322_jpg.rf.cdd5e93a6bfcfaf2e6c0b7c942549f06.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\36-1701507--115-1139964_A1_jpg.rf.bb7f862eb0ed9f32b7524bcfe5cf1d34.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\40-7046094--74-1843501_A4_jpg.rf.a7c4e33f56cb1fadba49222f9a98e48a.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\97_jpg.rf.92ffcbe8b4f7da16eb16097e161173b0.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\216_jpg.rf.56d45393e978091dabd74a2640ca38e6.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\IMG_20180723_124020_jpg.rf.7e7700d3847a1b68f78d630eac4c3bf6.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\449_jpg.rf.f1ea97e297d46f42fdbf5d675b7b6556.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2776377663504297387_jpg.rf.efc36ec4fe1b7b1fb3b312680952c2e2.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_9253_jpg.rf.b8eb23e38a48717217b85342bdb02149.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\40-6891022--73-945056_A3_jpg.rf.970e25b54c63ebc9d17915c0f4fba7be.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\40-724158--74-203432_A1_jpg.rf.90ae91817665c5f1a9d89914161898f9.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\33-4463939--112-0687152_A2_jpg.rf.bb07053f217646594c69f94a67446cb7.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\610_jpg.rf.c680c5ff9917c67c9d013b7f8f59ad5e.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Mixed Issues\485_jpg.rf.b262fad3e0852b334a22e121f65462e5.jpg,Mixed Issues,4
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\IMG_20180719_124206_jpg.rf.8f918849040eff7eccfe24d025e3ed3f.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\33-7406004--112-1071892_A2_jpg.rf.0743c20b12c68bdf6727d321cbb227c7.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\65_jpg.rf.9584bbd1ffe787cbe2b89f5e49ae0e6d.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\41-9724277--87-6541192_A4_jpg.rf.6c051729d7f14d768515f3f236035975.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_9239_jpg.rf.5650cb5c9a5a2252e52968359eef6f8f.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\74_jpg.rf.aad7e5c73ca343d93364a81f71f4b8eb.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\40-7457558--74-1902045_A4_jpg.rf.717700e88eba1f9761982d3c17299fca.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\road-markings-to-indicate-road-humps-asphalt-tar-road-view-signalling-speed-bumps-80102223_jpg.rf.a204989b40d91ceb03c410293fc4d56c.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8355_jpg.rf.66165d49d3ba707ddc4c5cb0967441b4.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\25-7746613--80-1958165_A4_jpg.rf.b81c70c7786d50d350eab68d37f35aab.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8297_jpg.rf.120fb2696c8ef3b6a19ff80f2a6b5edf.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\44_jpg.rf.03048f98193c886cf88b6bd69f0289cb.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\29-411--98-534706_A3_jpg.rf.d17c7f30622335f547dc810fd60fde49.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\46_jpg.rf.76f107aa8148f900365a85e175ecadb3.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\images-2024-07-07T003800-203_jpg.rf.f515d548c9bee1930f85189ca40c3778.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_9068_jpg.rf.831f6121f21005f6eb03b3ddab67da2e.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\34-0933464--118-2973305_A3_jpg.rf.a126600bc9f3913d0805f3c1b21aed82.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\254_jpg.rf.5021b1008fc1c21c291c0b97e38fef7b.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2731496359431952770_jpg.rf.ecc2cdd9fd531783fe56f999d405e5f3.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\424_jpg.rf.a5a6b8080dc97b36394a9102f80991b5.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_9064_jpg.rf.897a6c05211835cd653767cfac21687f.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8848_jpg.rf.658b8e09cac11639fdf682a0d3cb842d.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\353_jpg.rf.0620e7c52604cea09033bb5efdb62a07.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\604_jpg.rf.42c38718da9ed13ab237c6539f36bfca.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\242_jpg.rf.5fafcfe2c64521abb2bae3fa20dcda11.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\244_jpg.rf.e2bd8b18e9852e609dea473f4f695151.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\398_jpg.rf.5060374a7099428be71fb06fb4a3c96e.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\452_jpg.rf.8ecc7c6e83247be180e7163ebbf490f7.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\462_jpg.rf.1f98b2086fdc47802e7609a8b674f40d.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\162_jpg.rf.dc892a1430fc1df4a01cb2725fc0aad1.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\41-861833--87-6494937_A2_jpg.rf.265600c975796c2e722679ed181105af.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\255_jpg.rf.850462f2f78eca3ccc42e3ae61b57fae.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8223_jpg.rf.3cebd8832f37b3f7a1171a347b960271.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\532_jpg.rf.fcc5b4bead15f4c62c5ea0bd5c6e7aa5.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Mixed Issues\502_jpg.rf.48cd61854e2bb9f47bff4802703b076c.jpg,Mixed Issues,4
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\33-6103024--112-1340114_A4_jpg.rf.f28e42dfe61dddec416dd5decbe62c13.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\IMG_20180811_083703_jpg.rf.d94a2e96ae3262886e7edd0e54719c38.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\4_jpg.rf.0ddded2dbd6deec07273b364ef4645aa.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\332_jpg.rf.30532ace8beeaa42d785e6fb05f634e7.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\41-9210715--87-6836618_A1_jpg.rf.db850bf0f4bd2e4ad1cf5bedc4f6fb82.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\images-8_jpg.rf.bbb4977cb38d41d80476406c27a10229.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8250_jpg.rf.ee4ece262be194db370cf5516e08bd70.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\370_jpg.rf.4f065dcc70a7b4daa45747d0033b491f.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\road-hump-500x500_jpg.rf.49070065cc483b6cf54cde40f89f0f97.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2765498546101445059_jpg.rf.5dad4afc21575ba67e549cbe678402b4.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\498_jpg.rf.38a095ff185ff22f980349f4799743cd.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2776694107672619129_jpg.rf.e99974b808a018f47a31527ca4fbe6ec.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\40-7489964--74-1765211_A3_jpg.rf.00e03e029a832e496c4f345d0dc42656.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\415_jpg.rf.9086c245fd87d05b5921575ce3b76359.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\161_jpg.rf.b4ac5b55a0a59d882ff65f56e644d80a.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\226_jpg.rf.003436077989d0967bc7ee9436b67519.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\antarafoto-mural-kritisi-kpk-di-bandung-300821-na-6_jpg.rf.c30fb903eac3a9132d341086357dc671.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\488_jpg.rf.f2c6932720d47be716d2752dc088ed65.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\593_jpg.rf.010f831d3affc7a3d628107b56c0eaa9.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\428_jpg.rf.35100b76118fc5473cf1a382052b925d.jpg,Damaged Road issues,1
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8150_jpg.rf.5f55702437035aff6839c396dc73d506.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\25-7713835--80-1915979_A2_jpg.rf.47dcfdda570a220e74304a7717d65636.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\29_jpg.rf.2bec0d951c7dbd617b569172bdbb3be8.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Littering Garbage on Public Places Issues\29-6036534--98-6018485_A1_jpg.rf.aa1dc70f9cf696075e0f508099af6620.jpg,Littering Garbage on Public Places Issues,3
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8170_jpg.rf.df836e00dfd1c2c29ee618efd8361f77.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\132_jpg.rf.381bff037dab5c97308338bc5bc8ca83.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Damaged Road issues\Speed-Hump-3_jpg.rf.e41657074607ca2f2496afc69936a2a0.jpg,Damaged Road issues,1
